,vorname,anzahl,jahr
4297,Christoph,8,2021
4298,Christoph,4,2022
4299,Christopher,30,2012
4300,Christopher,37,2013
4301,Christopher,33,2014
4302,Christopher,35,2015
4303,Christopher,23,2016
4304,Christopher,22,2017
4305,Christopher,11,2018
4306,Christopher,12,2019
4307,Christopher,16,2020
4308,Christopher,15,2021
4309,Christopher,15,2022
4310,Christos,2,2013
4311,Châu,2,2013
4312,Châu,3,2014
4313,Châu,2,2015
4314,Châu,2,2022
4315,Ciara,2,2014
4316,Cihan,4,2012
4317,Cihan,5,2013
4318,Cihan,4,2014
4319,Cihan,7,2015
4320,Cihan,4,2016
4321,Cihan,4,2017
4322,Cihan,2,2019
4323,Cihan,2,2022
4324,Cihat,2,2015
4325,Cilia,2,2017
4326,Cillian,3,2017
4327,Cillian,2,2022
4328,Cirin,2,2017
4329,Ciwan,2,2012
4330,Ciwan,2,2013
4331,Ciwan,2,2014
4332,Ciwan,3,2015
4333,Ciwan,2,2020
4334,Claas,4,2013
4335,Claas,5,2014
4336,Claas,2,2015
4337,Claas,6,2016
4338,Claas,2,2018
4339,Claire,20,2012
4340,Claire,7,2013
4341,Claire,13,2014
4342,Claire,10,2015
4343,Claire,10,2016
4344,Claire,12,2017
4345,Claire,4,2018
4346,Claire,9,2019
4347,Claire,6,2020
4348,Claire,6,2021
4349,Claire,4,2022
4350,Clara,133,2012
4351,Clara,150,2013
4352,Clara,172,2014
4353,Clara,186,2015
4354,Clara,170,2016
4355,Clara,170,2017
4356,Clara,182,2018
4357,Clara,168,2019
4358,Clara,150,2020
4359,Clara,151,2021
4360,Clara,123,2022
4361,Clarissa,2,2014
4362,Clarissa,2,2022
4363,Clark,2,2016
4364,Claude,4,2022
4365,Claudia,7,2012
4366,Claudia,11,2013
4367,Claudia,12,2014
4368,Claudia,10,2015
4369,Claudia,11,2016
4370,Claudia,5,2017
4371,Claudia,4,2019
4372,Claudia,2,2021
4373,Claudio,2,2013
4374,Claudio,2,2014
4375,Claudio,2,2016
4376,Claudio,2,2019
4377,Claudius,2,2013
4378,Claudius,2,2021
4379,Claus,2,2016
4380,Claus,2,2018
4381,Clay,2,2014
4382,Clea,2,2012
4383,Clea,2,2015
4384,Clea,2,2017
4385,Clea,6,2019
4386,Clea,2,2020
4387,Clea,2,2022
4388,Clemens,28,2012
4389,Clemens,23,2013
4390,Clemens,21,2014
4391,Clemens,12,2015
4392,Clemens,10,2016
4393,Clemens,10,2017
4394,Clemens,10,2018
4395,Clemens,11,2019
4396,Clemens,10,2020
4397,Clemens,6,2021
4398,Clemens,4,2022
4399,Clement,2,2015
4400,Clementine,3,2013
4401,Clementine,4,2015
4402,Clementine,4,2016
4403,Clementine,2,2017
4404,Clementine,2,2019
4405,Clementine,4,2020
4406,Clementine,2,2022
4407,Cleo,6,2012
4408,Cleo,4,2013
4409,Cleo,16,2014
4410,Cleo,12,2015
4411,Cleo,13,2016
4412,Cleo,8,2017
4413,Cleo,32,2018
4414,Cleo,29,2019
4415,Cleo,40,2020
4416,Cleo,65,2021
4417,Cleo,66,2022
4418,Clio,2,2020
4419,Cléo,2,2013
4420,Cléo,2,2022
4421,Coco,6,2012
4422,Coco,2,2014
4423,Coco,11,2015
4424,Coco,8,2016
4425,Coco,8,2018
4426,Coco,2,2019
4427,Coco,4,2020
4428,Coco,11,2021
4429,Coco,8,2022
4430,Cody,2,2013
4431,Cody,4,2015
4432,Cody,2,2020
4433,Cody,2,2021
4434,Cody,3,2022
4435,Cole,2,2015
4436,Colin,26,2012
4437,Colin,24,2013
4438,Colin,15,2014
4439,Colin,9,2015
4440,Colin,26,2016
4441,Colin,6,2017
4442,Colin,7,2018
4443,Colin,8,2019
4444,Colin,10,2020
4445,Colin,6,2021
4446,Colin,9,2022
4447,Colleen,2,2014
4448,Collien,2,2012
4449,Collin,16,2012
4450,Collin,17,2013
4451,Collin,12,2014
4452,Collin,7,2015
4453,Collin,19,2016
4454,Collin,7,2017
4455,Collin,2,2018
4456,Collin,5,2019
4457,Collin,2,2020
4458,Collin,3,2021
4459,Collin,7,2022
4460,Conner,10,2012
4461,Conner,2,2013
4462,Conner,2,2014
4463,Conner,7,2015
4464,Conner,4,2016
4465,Conner,2,2017
4466,Conner,4,2018
4467,Conner,2,2019
4468,Conner,4,2020
4469,Connor,17,2012
4470,Connor,14,2013
4471,Connor,8,2014
4472,Connor,17,2015
4473,Connor,5,2016
4474,Connor,4,2017
4475,Connor,4,2018
4476,Connor,9,2019
4477,Connor,6,2020
4478,Connor,6,2021
4479,Connor,9,2022
4480,Conny,2,2020
4481,Conor,2,2018
4482,Conor,2,2019
4483,Conrad,11,2012
4484,Conrad,15,2013
4485,Conrad,14,2014
4486,Conrad,13,2015
4487,Conrad,2,2016
4488,Conrad,6,2017
4489,Conrad,4,2018
4490,Conrad,2,2019
4491,Conrad,4,2020
4492,Conrad,4,2021
4493,Conrad,2,2022
4494,Conradin,2,2015
4495,Constance,3,2016
4496,Constantijn,2,2015
4497,Constantin,65,2012
4498,Constantin,59,2013
4499,Constantin,80,2014
4500,Constantin,62,2015
4501,Constantin,80,2016
4502,Constantin,62,2017
4503,Constantin,54,2018
4504,Constantin,58,2019
4505,Constantin,50,2020
4506,Constantin,36,2021
4507,Constantin,25,2022
4508,Constantine,2,2013
4509,Constantine,2,2017
4510,Constantine,2,2022
4511,Constanze,2,2012
4512,Constanze,2,2013
4513,Constanze,3,2014
4514,Constanze,3,2016
4515,Cooper,4,2015
4516,Cooper,2,2016
4517,Cooper,2,2018
4518,Cora,7,2012
4519,Cora,4,2014
4520,Cora,3,2017
4521,Cora,2,2018
4522,Cora,5,2021
4523,Coral,2,2018
4524,Coralie,4,2013
4525,Coralie,2,2014
4526,Coralie,2,2015
4527,Coralie,2,2019
4528,Coralie,3,2022
4529,Cord,2,2012
4530,Corinna,2,2014
4531,Corinna,2,2016
4532,Cornelia,4,2012
4533,Cornelia,2,2013
4534,Cornelia,5,2015
4535,Cornelia,11,2016
4536,Cornelia,2,2017
4537,Cornelia,4,2018
4538,Cornelia,2,2019
4539,Cornelia,4,2021
4540,Cornelia,2,2022
4541,Cornelius,4,2012
4542,Cornelius,9,2013
4543,Cornelius,11,2014
4544,Cornelius,8,2015
4545,Cornelius,9,2016
4546,Cornelius,8,2017
4547,Cornelius,2,2018
4548,Cornelius,4,2019
4549,Cornelius,6,2020
4550,Cornelius,2,2021
4551,Cornelius,2,2022
4552,Corvin,2,2014
4553,Corvin,2,2015
4554,Corvin,4,2018
4555,Cosima,12,2012
4556,Cosima,9,2013
4557,Cosima,10,2014
4558,Cosima,2,2015
4559,Cosima,18,2016
4560,Cosima,4,2017
4561,Cosima,6,2018
4562,Cosima,6,2019
4563,Cosima,10,2020
4564,Cosima,7,2021
4565,Cosima,6,2022
4566,Cosimo,2,2015
4567,Cosimo,2,2019
4568,Cosimo,4,2022
4569,Cosma,2,2019
4570,Cosma,4,2021
4571,Cosmo,7,2012
4572,Cosmo,6,2013
4573,Cosmo,6,2014
4574,Cosmo,2,2015
4575,Cosmo,5,2016
4576,Cosmo,7,2017
4577,Cosmo,8,2018
4578,Cosmo,5,2019
4579,Cosmo,5,2020
4580,Cosmo,9,2021
4581,Cosmo,20,2022
4582,Costa,2,2020
4583,Cristian,4,2013
4584,Cristian,2,2015
4585,Cristian,2,2021
4586,Cristiano,2,2012
4587,Cristiano,2,2014
4588,Cristiano,2,2017
4589,Cristiano,2,2021
4590,Cristina,2,2013
4591,Cristina,2,2015
4592,Cristina,4,2020
4593,Cristina,2,2021
4594,Cuma,2,2012
4595,Cuma,2,2021
4596,Cuno,2,2012
4597,Cuno,2,2015
4598,Cuno,2,2022
4599,Curt,2,2013
4600,Curt,2,2016
4601,Curtis,2,2012
4602,Curtis,2,2017
4603,Cynthia,2,2012
4604,Cynthia,2,2015
4605,Cynthia,2,2016
4606,Cyprian,2,2016
4607,Cyril,2,2018
4608,Cyril,2,2020
4609,Cyrine,2,2015
4610,Cäcilia,2,2016
4611,Cécile,2,2015
4612,Cécile,2,2019
4613,Cécilia,2,2017
4614,Céleste,2,2019
4615,Céline,2,2013
4616,Céline,2,2016
4617,Céline,4,2022
4618,César,2,2021
4619,Cường,2,2016
4620,Dafer,2,2016
4621,Dagmar,6,2015
4622,Dagmar,2,2016
4623,Dagmar,2,2017
4624,Dagobert,2,2012
4625,Dahab,2,2022
4626,Dahlia,2,2012
4627,Dahlia,6,2013
4628,Dahlia,2,2016
4629,Dahlia,2,2019
4630,Dahlia,2,2022
4631,Daisy,2,2016
4632,Dajana,2,2012
4633,Dalal,2,2016
4634,Dalal,2,2018
4635,Dalia,5,2012
4636,Dalia,5,2013
4637,Dalia,7,2014
4638,Dalia,5,2015
4639,Dalia,4,2016
4640,Dalia,4,2017
4641,Dalia,2,2018
4642,Dalia,15,2019
4643,Dalia,13,2020
4644,Dalia,21,2021
4645,Dalia,19,2022
4646,Daliah,2,2013
4647,Dalija,2,2019
4648,Dalina,2,2017
4649,Daliyah,2,2014
4650,Dalya,2,2012
4651,Dalya,2,2013
4652,Dalya,2,2019
4653,Damaris,2,2013
4654,Damaris,2,2018
4655,Damaris,2,2020
4656,Damian,52,2012
4657,Damian,59,2013
4658,Damian,64,2014
4659,Damian,52,2015
4660,Damian,44,2016
4661,Damian,47,2017
4662,Damian,49,2018
4663,Damian,27,2019
4664,Damian,26,2020
4665,Damian,31,2021
4666,Damian,30,2022
4667,Damien,5,2012
4668,Damien,8,2013
4669,Damien,12,2014
4670,Damien,6,2015
4671,Damien,2,2016
4672,Damien,10,2017
4673,Damien,4,2018
4674,Damien,4,2019
4675,Damien,4,2020
4676,Damien,2,2021
4677,Damien,2,2022
4678,Damijan,2,2012
4679,Damir,2,2013
4680,Damir,6,2015
4681,Damir,2,2016
4682,Damir,2,2018
4683,Damir,5,2019
4684,Damir,2,2020
4685,Damir,4,2022
4686,Damián,3,2017
4687,Damjan,2,2018
4688,Damjan,2,2019
4689,Damjan,2,2020
4690,Damla,4,2012
4691,Damla,6,2014
4692,Damla,3,2015
4693,Damla,3,2016
4694,Damla,4,2017
4695,Damla,5,2018
4696,Damon,10,2012
4697,Damon,5,2013
4698,Damon,4,2014
4699,Damon,12,2015
4700,Damon,2,2018
4701,Damon,4,2019
4702,Damon,3,2020
4703,Dan,5,2012
4704,Dan,2,2014
4705,Dan,2,2017
4706,Dan,2,2018
4707,Dan,2,2020
4708,Dana,10,2012
4709,Dana,11,2013
4710,Dana,4,2014
4711,Dana,6,2015
4712,Dana,3,2016
4713,Dana,6,2017
4714,Dana,7,2018
4715,Dana,4,2019
4716,Dana,5,2021
4717,Dana,2,2022
4718,Danell,2,2020
4719,Dang,2,2013
4720,Dang,3,2015
4721,Dang,2,2016
4722,Dang,2,2021
4723,Dani,2,2020
4724,Dania,2,2018
4725,Dania,4,2019
4726,Dania,2,2020
4727,Danial,2,2018
4728,Danial,2,2020
4729,Danial,5,2021
4730,Danica,2,2012
4731,Daniel,132,2012
4732,Daniel,120,2013
4733,Daniel,127,2014
4734,Daniel,152,2015
4735,Daniel,137,2016
4736,Daniel,121,2017
4737,Daniel,119,2018
4738,Daniel,101,2019
4739,Daniel,120,2020
4740,Daniel,114,2021
4741,Daniel,96,2022
4742,Daniela,7,2012
4743,Daniela,13,2013
4744,Daniela,9,2014
4745,Daniela,4,2015
4746,Daniela,10,2016
4747,Daniela,9,2017
4748,Daniela,5,2018
4749,Daniela,2,2022
4750,Daniele,2,2012
4751,Daniella,2,2013
4752,Daniella,2,2019
4753,Danielle,2,2012
4754,Danielle,2,2013
4755,Danielle,2,2015
4756,Danielova,2,2020
4757,Daniil,2,2021
4758,Danijel,2,2013
4759,Danijel,2,2014
4760,Danijel,2,2015
4761,Danijel,2,2017
4762,Danil,2,2012
4763,Danil,4,2015
4764,Danilo,13,2012
4765,Danilo,11,2013
4766,Danilo,2,2014
4767,Danilo,9,2015
4768,Danilo,9,2016
4769,Danilo,5,2018
4770,Danilo,4,2019
4771,Danilo,3,2020
4772,Danilo,5,2021
4773,Danilo,2,2022
4774,Danilovna,2,2017
4775,Danis,2,2017
4776,Danny,5,2012
4777,Danny,4,2013
4778,Danny,2,2015
4779,Danny,2,2016
4780,Danny,6,2017
4781,Danny,6,2018
4782,Danny,2,2019
4783,Danny,2,2020
4784,Danny,2,2022
4785,Dante,4,2012
4786,Dante,10,2013
4787,Dante,7,2014
4788,Dante,12,2016
4789,Dante,2,2017
4790,Dante,6,2018
4791,Dante,10,2019
4792,Dante,2,2021
4793,Dante,16,2022
4794,Danuta,2,2022
4795,Danyal,2,2022
4796,Daoud,2,2021
4797,Daphne,2,2017
4798,Daria,11,2012
4799,Daria,15,2013
4800,Daria,17,2014
4801,Daria,18,2015
4802,Daria,23,2016
4803,Daria,16,2017
4804,Daria,18,2018
4805,Daria,20,2019
4806,Daria,14,2020
4807,Daria,19,2021
4808,Daria,19,2022
4809,Darian,11,2012
4810,Darian,12,2013
4811,Darian,10,2014
4812,Darian,5,2016
4813,Darian,13,2017
4814,Darian,11,2018
4815,Darian,4,2019
4816,Darian,6,2020
4817,Darian,4,2021
4818,Darian,8,2022
4819,Darija,2,2016
4820,Darija,2,2017
4821,Darin,2,2013
4822,Darina,2,2014
4823,Darina,3,2016
4824,Darina,4,2017
4825,Darina,2,2018
4826,Darina,2,2019
4827,Darina,2,2020
4828,Dario,2,2012
4829,Dario,7,2013
4830,Dario,14,2014
4831,Dario,16,2015
4832,Dario,4,2016
4833,Dario,2,2017
4834,Dario,4,2018
4835,Dario,7,2019
4836,Dario,2,2020
4837,Dario,6,2021
4838,Dario,7,2022
4839,Daris,2,2016
4840,Daris,2,2018
4841,Daris,2,2019
4842,Darius,2,2012
4843,Darius,7,2013
4844,Darius,6,2014
4845,Darius,11,2015
4846,Darius,10,2016
4847,Darius,7,2017
4848,Darius,2,2018
4849,Darius,9,2019
4850,Darius,6,2020
4851,Darius,8,2021
4852,Darius,8,2022
4853,Dariusz,2,2015
4854,Dariusz,3,2022
4855,Dariya,2,2020
4856,Darja,2,2012
4857,Darja,2,2016
4858,Darko,2,2012
4859,Darko,2,2015
4860,Darko,2,2017
4861,Darleen,2,2012
4862,Darleen,2,2013
4863,Darren,2,2012
4864,Darren,2,2014
4865,Darwin,2,2015
4866,Darya,2,2021
4867,Darío,2,2016
4868,Dastan,2,2014
4869,Dat,2,2014
4870,Dave,4,2012
4871,Dave,2,2015
4872,Dave,4,2017
4873,Dave,2,2018
4874,Davi,3,2022
4875,David,219,2012
4876,David,197,2013
4877,David,223,2014
4878,David,207,2015
4879,David,195,2016
4880,David,206,2017
4881,David,217,2018
4882,David,192,2019
4883,David,198,2020
4884,David,175,2021
4885,David,162,2022
4886,Davide,2,2013
4887,Davide,2,2016
4888,Davide,2,2018
4889,Davidovič,2,2012
4890,Davin,2,2013
4891,Davin,4,2020
4892,Davin,2,2021
4893,Davina,3,2012
4894,Davina,2,2014
4895,Davis,2,2014
4896,Davis,3,2015
4897,Davis,6,2016
4898,Davis,2,2018
4899,Davis,4,2020
4900,Davit,3,2016
4901,Davud,2,2017
4902,Davut,2,2012
4903,Dawid,8,2012
4904,Dawid,7,2013
4905,Dawid,5,2014
4906,Dawid,6,2015
4907,Dawid,7,2016
4908,Dawid,4,2017
4909,Dawid,2,2018
4910,Dawit,2,2015
4911,Dawud,2,2018
4912,Dayan,2,2018
4913,Dayana,2,2022
4914,Dayo,2,2012
4915,Dağhan,2,2013
4916,Dea,2,2012
4917,Dea,2,2015
4918,Dea,5,2020
4919,Dea,4,2022
4920,Dean,57,2012
4921,Dean,36,2013
4922,Dean,39,2014
4923,Dean,28,2015
4924,Dean,36,2016
4925,Dean,33,2017
4926,Dean,28,2018
4927,Dean,23,2019
4928,Dean,23,2020
4929,Dean,28,2021
4930,Dean,31,2022
4931,Debora,7,2013
4932,Debora,3,2014
4933,Debora,4,2015
4934,Debora,2,2016
4935,Debora,4,2017
4936,Debora,2,2021
4937,Deborah,5,2012
4938,Deborah,4,2013
4939,Deborah,2,2014
4940,Deborah,2,2016
4941,Deborah,2,2018
4942,Defne,2,2012
4943,Defne,10,2013
4944,Defne,7,2014
4945,Defne,13,2015
4946,Defne,23,2016
4947,Defne,18,2017
4948,Defne,14,2018
4949,Defne,14,2019
4950,Defne,16,2020
4951,Defne,16,2021
4952,Defne,8,2022
4953,Dejan,4,2012
4954,Dejan,4,2014
4955,Dejan,7,2015
4956,Dejan,2,2016
4957,Dejan,3,2017
4958,Dejan,2,2018
4959,Dejan,2,2019
4960,Dejan,2,2020
4961,Dejan,2,2021
4962,Delal,2,2013
4963,Delal,4,2014
4964,Delal,2,2015
4965,Delal,2,2016
4966,Delal,4,2018
4967,Delal,5,2019
4968,Delal,2,2021
4969,Delal,4,2022
4970,Delfina,2,2015
4971,Delia,2,2012
4972,Delia,2,2017
4973,Delia,3,2018
4974,Delia,3,2019
4975,Delia,3,2020
4976,Delia,2,2022
4977,Delian,2,2022
4978,Delila,2,2013
4979,Delilah,2,2021
4980,Delphine,2,2022
4981,Demhat,2,2013
4982,Demian,2,2013
4983,Demian,2,2016
4984,Demian,2,2019
4985,Demir,2,2013
4986,Demir,2,2016
4987,Demir,2,2019
4988,Demir,9,2022
4989,Deni,4,2022
4990,Denis,10,2012
4991,Denis,9,2013
4992,Denis,7,2014
4993,Denis,17,2015
4994,Denis,12,2016
4995,Denis,11,2017
4996,Denis,12,2018
4997,Denis,4,2019
4998,Denis,5,2020
4999,Denis,7,2021
5000,Denis,8,2022
5001,Denisa,2,2012
5002,Denisa,2,2016
5003,Denisa,2,2020
5004,Denise,6,2012
5005,Denise,3,2013
5006,Denise,5,2014
5007,Denise,3,2016
5008,Denise,3,2017
5009,Denise,4,2020
5010,Denise,2,2021
5011,Denislavova,2,2021
5012,Deniz,21,2012
5013,Deniz,43,2013
5014,Deniz,29,2014
5015,Deniz,23,2015
5016,Deniz,24,2016
5017,Deniz,24,2017
5018,Deniz,28,2018
5019,Deniz,27,2019
5020,Deniz,33,2020
5021,Deniz,16,2021
5022,Deniz,22,2022
5023,Dennis,15,2012
5024,Dennis,22,2013
5025,Dennis,21,2014
5026,Dennis,28,2015
5027,Dennis,19,2016
5028,Dennis,14,2017
5029,Dennis,12,2018
5030,Dennis,12,2019
5031,Dennis,9,2020
5032,Dennis,6,2021
5033,Dennis,7,2022
5034,Denny,2,2013
5035,Denny,2,2014
5036,Denny,2,2020
5037,Deran,2,2021
5038,Derek,4,2012
5039,Derek,2,2013
5040,Deren,2,2018
5041,Derin,7,2013
5042,Derin,3,2015
5043,Derin,2,2016
5044,Derin,6,2017
5045,Derin,4,2018
5046,Derin,2,2020
5047,Derin,2,2021
5048,Derk,2,2016
5049,Derya,5,2012
5050,Derya,4,2013
5051,Derya,2,2014
5052,Derya,4,2015
5053,Derya,2,2016
5054,Derya,2,2021
5055,Destan,4,2012
5056,Destiny,2,2012
5057,Destiny,3,2016
5058,Destiny,2,2020
5059,Detlef,6,2012
5060,Detlef,2,2013
5061,Detlef,6,2014
5062,Detlef,4,2015
5063,Detlef,4,2016
5064,Detlef,2,2017
5065,Detlef,2,2019
5066,Detlef,2,2021
5067,Detlev,2,2012
5068,Devi,2,2014
5069,Devi,2,2016
5070,Devi,2,2020
5071,Devin,11,2012
5072,Devin,8,2013
5073,Devin,6,2014
5074,Devin,8,2015
5075,Devin,5,2016
5076,Devin,9,2017
5077,Devin,2,2018
5078,Devin,6,2019
5079,Devin,2,2021
5080,Devin,3,2022
5081,Devon,2,2014
5082,Devran,2,2012
5083,Devran,8,2013
5084,Devran,5,2014
5085,Devran,4,2015
5086,Devran,9,2016
5087,Devran,2,2017
5088,Devran,5,2018
5089,Devran,2,2019
5090,Devran,2,2020
5091,Devran,3,2022
5092,Devrim,5,2013
5093,Devrim,2,2015
5094,Devrim,2,2017
5095,Devrim,2,2018
5096,Dewran,2,2017
5097,Dewran,2,2019
5098,Dexter,2,2013
5099,Dexter,2,2014
5100,Dexter,2,2015
5101,Dexter,2,2016
5102,Deyanov,2,2019
5103,Diamond,2,2015
5104,Dian,3,2018
5105,Dian,3,2020
5106,Dian,2,2021
5107,Dian,2,2022
5108,Diana,37,2012
5109,Diana,28,2013
5110,Diana,14,2014
5111,Diana,21,2015
5112,Diana,28,2016
5113,Diana,25,2017
5114,Diana,27,2018
5115,Diana,31,2019
5116,Diana,26,2020
5117,Diana,28,2021
5118,Diana,35,2022
5119,Diane,2,2015
5120,Diar,2,2012
5121,Diar,2,2015
5122,Diar,2,2017
5123,Diar,2,2018
5124,Diar,2,2019
5125,Diar,2,2020
5126,Diar,2,2022
5127,Diba,2,2018
5128,Dicle,2,2012
5129,Dicle,2,2013
5130,Dicle,2,2015
5131,Dicle,2,2019
5132,Dicle,2,2021
5133,Didem,2,2016
5134,Diego,13,2012
5135,Diego,24,2013
5136,Diego,17,2014
5137,Diego,16,2015
5138,Diego,11,2016
5139,Diego,14,2017
5140,Diego,14,2018
5141,Diego,8,2019
5142,Diego,15,2020
5143,Diego,17,2021
5144,Diego,19,2022
5145,Diell,2,2021
5146,Dieter,7,2012
5147,Dieter,7,2013
5148,Dieter,16,2014
5149,Dieter,3,2015
5150,Dieter,17,2016
5151,Dieter,4,2018
5152,Dieter,2,2019
5153,Dieter,4,2020
5154,Dieter,6,2021
5155,Dieter,2,2022
5156,Dietmar,3,2012
5157,Dietmar,2,2013
5158,Dietmar,2,2015
5159,Dietmar,2,2017
5160,Dietmar,2,2020
5161,Dietrich,2,2013
5162,Dietrich,2,2014
5163,Dietrich,3,2015
5164,Dieu,3,2013
5165,Dijar,2,2016
5166,Dijon,2,2015
5167,Dila,4,2012
5168,Dila,11,2013
5169,Dila,4,2014
5170,Dila,5,2015
5171,Dila,2,2016
5172,Dila,2,2017
5173,Dila,5,2018
5174,Dila,9,2019
5175,Dila,4,2020
5176,Dilan,2,2012
5177,Dilan,4,2014
5178,Dilan,6,2016
5179,Dilan,3,2019
5180,Dilan,3,2020
5181,Dilara,19,2012
5182,Dilara,16,2013
5183,Dilara,24,2014
5184,Dilara,11,2015
5185,Dilara,12,2016
5186,Dilara,17,2017
5187,Dilara,9,2018
5188,Dilara,2,2019
5189,Dilara,7,2020
5190,Dilara,2,2021
5191,Dilara,4,2022
5192,Dilay,4,2012
5193,Dilay,4,2014
5194,Dilay,2,2015
5195,Dilay,3,2022
5196,Dilber,2,2014
5197,Dilek,5,2012
5198,Dilek,2,2014
5199,Dilek,2,2016
5200,Dilek,2,2018
5201,Dilek,2,2020
5202,Dillon,2,2012
5203,Dima,3,2012
5204,Dima,3,2015
5205,Dima,2,2018
5206,Dima,7,2019
5207,Dimitar,2,2019
5208,Dimitri,2,2014
5209,Dimitri,2,2015
5210,Dimitri,2,2016
5211,Dimitrij,2,2022
5212,Dimitrios,3,2012
5213,Dimitrios,2,2013
5214,Dimitrios,2,2014
5215,Dimitrios,2,2022
5216,Dimitris,2,2022
5217,Dimitrov,2,2022
5218,Dimitrova,2,2014
5219,Din,2,2018
5220,Dina,2,2012
5221,Dina,2,2013
5222,Dina,4,2014
5223,Dina,4,2015
5224,Dina,2,2016
5225,Dina,2,2019
5226,Dina,3,2022
5227,Dinh,2,2016
5228,Dion,7,2013
5229,Dion,3,2014
5230,Dion,4,2016
5231,Dion,2,2019
5232,Dion,5,2020
5233,Dion,4,2021
5234,Dion,6,2022
5235,Dior,2,2015
5236,Dirk,2,2012
5237,Dirk,9,2013
5238,Dirk,7,2014
5239,Dirk,2,2015
5240,Dirk,7,2016
5241,Dirk,2,2020
5242,Divine,2,2016
5243,Divine,2,2018
5244,Diya,4,2020
5245,Diyan,2,2019
5246,Diyan,8,2021
5247,Diyan,2,2022
5248,Diyar,5,2013
5249,Diyar,2,2014
5250,Diyar,5,2015
5251,Diyar,5,2016
5252,Diyar,4,2018
5253,Diyar,2,2020
5254,Diyar,5,2021
5255,Diyar,2,2022
5256,Diệp,2,2016
5257,Djamila,2,2012
5258,Djamila,2,2013
5259,Djamila,2,2014
5260,Djamila,2,2015
5261,Djamila,2,2016
5262,Djamila,2,2019
5263,Djibril,2,2022
5264,Dmitrievič,3,2019
5265,Dmitrievič,2,2022
5266,Dmitrievna,2,2019
5267,Dmitrievna,2,2020
5268,Dmitrievna,2,2022
5269,Dmitrovič,2,2022
5270,Dmitryevič,2,2014
5271,Dmitrìvna,2,2022
5272,Dmytrivna,2,2017
5273,Do,2,2015
5274,Doan,2,2013
5275,Doanh,2,2015
5276,Dolly,2,2015
5277,Dolores,2,2012
5278,Domenic,2,2012
5279,Domenico,2,2017
5280,Domenik,7,2012
5281,Domenik,10,2013
5282,Domenik,2,2014
5283,Domenik,2,2015
5284,Domenik,2,2016
5285,Domenik,2,2017
5286,Domenik,2,2018
5287,Dominic,14,2012
5288,Dominic,6,2013
5289,Dominic,13,2014
5290,Dominic,5,2015
5291,Dominic,8,2016
5292,Dominic,4,2017
5293,Dominic,6,2018
5294,Dominic,4,2019
5295,Dominic,4,2020
5296,Dominic,8,2021
5297,Dominic,4,2022
5298,Dominik,36,2012
5299,Dominik,57,2013
5300,Dominik,34,2014
5301,Dominik,30,2015
5302,Dominik,22,2016
5303,Dominik,26,2017
5304,Dominik,22,2018
5305,Dominik,22,2019
5306,Dominik,12,2020
5307,Dominik,9,2021
5308,Dominik,10,2022
5309,Dominique,2,2014
5310,Dominique,2,2015
5311,Dominique,2,2018
5312,Dominique,2,2020
5313,Don,2,2014
5314,Don,4,2015
5315,Don,5,2016
5316,Donata,2,2013
5317,Donnie,2,2016
5318,Donya,2,2017
5319,Dora,6,2013
5320,Dora,12,2014
5321,Dora,9,2015
5322,Dora,9,2016
5323,Dora,7,2017
5324,Dora,4,2018
5325,Dora,7,2019
5326,Dora,2,2020
5327,Dora,12,2021
5328,Dora,5,2022
5329,Doreen,2,2014
5330,Doreen,3,2015
5331,Dori,2,2021
5332,Dorian,2,2012
5333,Dorian,3,2013
5334,Dorian,4,2014
5335,Dorian,6,2015
5336,Dorian,5,2016
5337,Dorian,2,2017
5338,Dorian,5,2018
5339,Dorian,2,2020
5340,Dorian,2,2021
5341,Dorian,2,2022
5342,Doris,7,2012
5343,Doris,5,2014
5344,Doris,8,2015
5345,Doris,9,2016
5346,Doris,2,2019
5347,Doris,6,2020
5348,Doris,2,2022
5349,Dorka,2,2014
5350,Dorothea,20,2012
5351,Dorothea,12,2013
5352,Dorothea,22,2014
5353,Dorothea,21,2015
5354,Dorothea,34,2016
5355,Dorothea,16,2017
5356,Dorothea,13,2018
5357,Dorothea,13,2019
5358,Dorothea,21,2020
5359,Dorothea,14,2021
5360,Dorothea,7,2022
5361,Doruk,2,2012
5362,Douglas,2,2013
5363,Douglas,2,2021
5364,Douha,2,2018
5365,Dounia,2,2016
5366,Doğan,2,2012
5367,Dragan,2,2012
5368,Dragan,4,2015
5369,Dragan,2,2016
5370,Dries,2,2016
5371,Drilon,2,2013
5372,Dua,2,2012
5373,Dua,4,2015
5374,Dua,2,2016
5375,Dua,2,2017
5376,Dua,3,2018
5377,Dua,2,2019
5378,Dua,10,2020
5379,Dua,23,2021
5380,Dua,26,2022
5381,Duc,9,2012
5382,Duc,9,2013
5383,Duc,7,2014
5384,Duc,9,2015
5385,Duc,7,2016
5386,Duc,2,2017
5387,Duc,6,2018
5388,Duc,4,2019
5389,Duc,2,2020
5390,Duc,3,2022
5391,Dunia,2,2014
5392,Dunja,2,2013
5393,Dunja,2,2014
5394,Dunja,2,2015
5395,Dunja,2,2016
5396,Dunja,3,2018
5397,Dunja,2,2019
5398,Dunja,2,2020
5399,Dunya,2,2013
5400,Dunya,2,2016
5401,Dunya,5,2017
5402,Dunya,5,2019
5403,Dunya,4,2020
5404,Dunya,2,2021
5405,Dunya,3,2022
