,vorname,anzahl,geschlecht,jahr,bezirk
67226,Aaliyah,2,w,2019,friedrichshain-kreuzberg
203927,Aaliyah,2,w,2015,pankow
120336,Aaliyah,2,w,2012,mitte
130958,Aaliyah,2,w,2015,mitte
157124,Aaliyah,4,w,2021,mitte
289107,Aaliyah,3,w,2013,tempelhof-schoeneberg
242304,Aaliyah,3,w,2012,spandau
188553,Aaliyah,4,w,2020,neukoelln
222677,Aaliyah,2,w,2021,pankow
34313,Aaliyah,3,w,2021,charlottenburg-wilmersdorf
285769,Aaliyah,5,w,2012,tempelhof-schoeneberg
316787,Aaliyah,2,w,2020,tempelhof-schoeneberg
48403,Aaliyah,2,w,2014,friedrichshain-kreuzberg
98606,Aaliyah,2,w,2019,lichtenberg
116805,Aaliyah,2,w,2020,marzahn-hellersdorf
109289,Aaliyah,2,w,2013,marzahn-hellersdorf
13804,Aaliyah,3,w,2016,charlottenburg-wilmersdorf
6808,Aaliyah,5,w,2014,charlottenburg-wilmersdorf
295488,Aaliyah,7,w,2015,tempelhof-schoeneberg
166417,Aaliyah,4,w,2012,neukoelln
138686,Aaliyah,2,w,2017,mitte
325991,Aaliyah,4,w,2022,tempelhof-schoeneberg
183077,Aaliyah,2,w,2018,neukoelln
177346,Aaliyah,3,w,2016,neukoelln
152591,Aaliyah,3,w,2020,mitte
246955,Aaliyah,2,w,2014,spandau
354,Aaliyah,4,w,2012,charlottenburg-wilmersdorf
142940,Aaliyah,3,w,2018,mitte
171771,Aaliyah,4,w,2014,neukoelln
75148,Aaliyah,3,w,2021,friedrichshain-kreuzberg
263673,Aaliyah,4,w,2020,spandau
169033,Aaliyah,4,w,2013,neukoelln
299382,Aaliyah,2,w,2016,tempelhof-schoeneberg
123540,Aaliyah,5,w,2013,mitte
263912,Aaliyah,2,w,2020,spandau
38736,Aaliyah,2,w,2022,charlottenburg-wilmersdorf
29899,Aaliyah,7,w,2020,charlottenburg-wilmersdorf
307532,Aaliyah,3,w,2018,tempelhof-schoeneberg
302665,Aaliyah,4,w,2017,tempelhof-schoeneberg
244583,Aaliyah,3,w,2013,spandau
182979,Aaliyah,2,w,2018,neukoelln
275286,Aaliyah,2,w,2014,steglitz-zehlendorf
194216,Aaliyah,2,w,2022,neukoelln
312110,Aaliyah,3,w,2019,tempelhof-schoeneberg
134396,Aaliyah,3,w,2016,mitte
162013,Aaliyah,2,w,2022,mitte
126974,Aaliyah,5,w,2014,mitte
260542,Aaliyah,3,w,2019,spandau
234298,Aaliyah,2,w,2016,reinickendorf
45514,Aaliyah,2,w,2013,friedrichshain-kreuzberg
260671,Aaliyah,2,w,2019,spandau
236845,Aaliyah,2,w,2018,reinickendorf
292334,Aaliyah,4,w,2014,tempelhof-schoeneberg
226438,Aarav,2,m,2022,pankow
114420,Aaron,3,m,2018,marzahn-hellersdorf
182882,Aaron,3,m,2018,neukoelln
106128,Aaron,2,m,2022,lichtenberg
182831,Aaron,3,m,2018,neukoelln
302633,Aaron,5,m,2017,tempelhof-schoeneberg
29774,Aaron,12,m,2020,charlottenburg-wilmersdorf
337030,Aaron,2,m,2018,treptow-koepenick
263922,Aaron,2,m,2020,spandau
62111,Aaron,12,m,2018,friedrichshain-kreuzberg
137992,Aaron,7,m,2017,mitte
84886,Aaron,8,m,2013,lichtenberg
325756,Aaron,9,m,2022,tempelhof-schoeneberg
157839,Aaron,2,m,2021,mitte
311768,Aaron,6,m,2019,tempelhof-schoeneberg
229302,Aaron,3,m,2012,reinickendorf
236862,Aaron,2,m,2018,reinickendorf
203572,Aaron,7,m,2015,pankow
120106,Aaron,4,m,2012,mitte
230448,Aaron,4,m,2013,reinickendorf
156916,Aaron,9,m,2021,mitte
6679,Aaron,10,m,2014,charlottenburg-wilmersdorf
130571,Aaron,6,m,2015,mitte
244432,Aaron,7,m,2013,spandau
174809,Aaron,2,m,2015,neukoelln
17388,Aaron,3,m,2017,charlottenburg-wilmersdorf
98232,Aaron,7,m,2019,lichtenberg
147645,Aaron,5,m,2019,mitte
331463,Aaron,2,m,2013,treptow-koepenick
211992,Aaron,5,m,2018,pankow
168923,Aaron,7,m,2013,neukoelln
306964,Aaron,17,m,2018,tempelhof-schoeneberg
208743,Aaron,6,m,2017,pankow
215509,Aaron,3,m,2019,pankow
225806,Aaron,13,m,2022,pankow
246697,Aaron,6,m,2014,spandau
30455,Aaron,2,m,2020,charlottenburg-wilmersdorf
70916,Aaron,5,m,2020,friedrichshain-kreuzberg
171732,Aaron,5,m,2014,neukoelln
332355,Aaron,3,m,2014,treptow-koepenick
70963,Aaron,4,m,2020,friedrichshain-kreuzberg
38295,Aaron,6,m,2022,charlottenburg-wilmersdorf
316089,Aaron,13,m,2020,tempelhof-schoeneberg
276144,Aaron,5,m,2015,steglitz-zehlendorf
198796,Aaron,9,m,2013,pankow
161516,Aaron,8,m,2022,mitte
33873,Aaron,15,m,2021,charlottenburg-wilmersdorf
74913,Aaron,7,m,2021,friedrichshain-kreuzberg
10054,Aaron,13,m,2015,charlottenburg-wilmersdorf
288778,Aaron,10,m,2013,tempelhof-schoeneberg
302474,Aaron,8,m,2017,tempelhof-schoeneberg
251373,Aaron,16,m,2016,spandau
17195,Aaron,5,m,2017,charlottenburg-wilmersdorf
211907,Aaron,7,m,2018,pankow
320810,Aaron,15,m,2021,tempelhof-schoeneberg
93466,Aaron,2,m,2017,lichtenberg
277046,Aaron,8,m,2016,steglitz-zehlendorf
273291,Aaron,4,m,2012,steglitz-zehlendorf
206053,Aaron,13,m,2016,pankow
218599,Aaron,11,m,2020,pankow
123438,Aaron,9,m,2013,mitte
222192,Aaron,9,m,2021,pankow
179964,Aaron,4,m,2017,neukoelln
263668,Aaron,4,m,2020,spandau
275246,Aaron,3,m,2014,steglitz-zehlendorf
88868,Aaron,8,m,2015,lichtenberg
58096,Aaron,3,m,2017,friedrichshain-kreuzberg
307757,Aaron,2,m,2018,tempelhof-schoeneberg
51159,Aaron,6,m,2015,friedrichshain-kreuzberg
112170,Aaron,2,m,2016,marzahn-hellersdorf
341039,Aaron,4,m,2021,treptow-koepenick
79249,Aaron,4,m,2022,friedrichshain-kreuzberg
103469,Aaron,6,m,2021,lichtenberg
270134,Aaron,5,m,2022,spandau
237983,Aaron,2,m,2019,reinickendorf
22043,Aaron,2,m,2018,charlottenburg-wilmersdorf
45102,Aaron,10,m,2013,friedrichshain-kreuzberg
193925,Aaron,3,m,2022,neukoelln
117821,Aaron,2,m,2021,marzahn-hellersdorf
166302,Aaron,8,m,2012,neukoelln
326799,Aaron,2,m,2022,tempelhof-schoeneberg
254073,Aaron,5,m,2017,spandau
283033,Aaron,5,m,2021,steglitz-zehlendorf
196313,Aaron,12,m,2012,pankow
79858,Aaron,2,m,2022,friedrichshain-kreuzberg
54312,Aaron,8,m,2016,friedrichshain-kreuzberg
109304,Aaron,2,m,2013,marzahn-hellersdorf
231824,Aaron,2,m,2014,reinickendorf
270387,Aaron,3,m,2022,spandau
280774,Aaron,2,m,2019,steglitz-zehlendorf
257360,Aaron,3,m,2018,spandau
260196,Aaron,10,m,2019,spandau
285625,Aaron,10,m,2012,tempelhof-schoeneberg
86761,Aaron,12,m,2014,lichtenberg
34492,Aaron,3,m,2021,charlottenburg-wilmersdorf
83111,Aaron,7,m,2012,lichtenberg
134141,Aaron,8,m,2016,mitte
257297,Aaron,3,m,2018,spandau
21433,Aaron,8,m,2018,charlottenburg-wilmersdorf
281863,Aaron,3,m,2020,steglitz-zehlendorf
57818,Aaron,7,m,2017,friedrichshain-kreuzberg
152124,Aaron,11,m,2020,mitte
279592,Aaron,2,m,2018,steglitz-zehlendorf
266628,Aaron,10,m,2021,spandau
232966,Aaron,6,m,2015,reinickendorf
215164,Aaron,13,m,2019,pankow
3361,Aaron,18,m,2013,charlottenburg-wilmersdorf
66606,Aaron,5,m,2019,friedrichshain-kreuzberg
142649,Aaron,6,m,2018,mitte
298829,Aaron,10,m,2016,tempelhof-schoeneberg
95820,Aaron,4,m,2018,lichtenberg
126886,Aaron,8,m,2014,mitte
295503,Aaron,7,m,2015,tempelhof-schoeneberg
138525,Aaron,2,m,2017,mitte
48005,Aaron,7,m,2014,friedrichshain-kreuzberg
25702,Aaron,7,m,2019,charlottenburg-wilmersdorf
100887,Aaron,5,m,2020,lichtenberg
42431,Aaron,5,m,2012,friedrichshain-kreuzberg
292084,Aaron,12,m,2014,tempelhof-schoeneberg
25634,Aaron,10,m,2019,charlottenburg-wilmersdorf
111069,Aaron,3,m,2015,marzahn-hellersdorf
339714,Aaron,3,m,2020,treptow-koepenick
108,Aaron,14,m,2012,charlottenburg-wilmersdorf
100881,Aaron,5,m,2020,lichtenberg
342718,Aaron,2,m,2022,treptow-koepenick
147810,Aaron,3,m,2019,mitte
177152,Aaron,7,m,2016,neukoelln
90840,Aaron,13,m,2016,lichtenberg
66459,Aaron,10,m,2019,friedrichshain-kreuzberg
13457,Aaron,13,m,2016,charlottenburg-wilmersdorf
334305,Aaron,5,m,2016,treptow-koepenick
249037,Aaron,8,m,2015,spandau
242118,Aaron,8,m,2012,spandau
312052,Aaron,3,m,2019,tempelhof-schoeneberg
201033,Aaron,17,m,2014,pankow
321274,Aaron,4,m,2021,tempelhof-schoeneberg
330317,Aaron,5,m,2012,treptow-koepenick
162562,Abakah,2,m,2022,mitte
295962,Abbas,2,m,2015,tempelhof-schoeneberg
326317,Abbas,3,m,2022,tempelhof-schoeneberg
194120,Abbas,2,m,2022,neukoelln
120224,Abbas,3,m,2012,mitte
185654,Abbas,4,m,2019,neukoelln
166694,Abbas,2,m,2012,neukoelln
10597,Abbas,2,m,2015,charlottenburg-wilmersdorf
62932,Abbas,2,m,2018,friedrichshain-kreuzberg
188568,Abbas,4,m,2020,neukoelln
458,Abbas,3,m,2012,charlottenburg-wilmersdorf
289337,Abbas,2,m,2013,tempelhof-schoeneberg
312135,Abbas,3,m,2019,tempelhof-schoeneberg
79637,Abbas,2,m,2022,friedrichshain-kreuzberg
48431,Abbas,2,m,2014,friedrichshain-kreuzberg
157622,Abbas,2,m,2021,mitte
299223,Abbas,3,m,2016,tempelhof-schoeneberg
134437,Abbas,3,m,2016,mitte
238024,Abbas,2,m,2019,reinickendorf
75213,Abbas,3,m,2021,friedrichshain-kreuzberg
22221,Abbas,2,m,2018,charlottenburg-wilmersdorf
161868,Abbas,3,m,2022,mitte
34674,Abbas,2,m,2021,charlottenburg-wilmersdorf
174811,Abbas,2,m,2015,neukoelln
143317,Abbas,2,m,2018,mitte
126952,Abbas,6,m,2014,mitte
103874,Abbas,2,m,2021,lichtenberg
215888,Abby,2,w,2019,pankow
295922,Abby,2,w,2015,tempelhof-schoeneberg
196723,Abby,2,w,2012,pankow
169284,Abby,2,w,2013,neukoelln
235527,Abby,2,w,2017,reinickendorf
201493,Abby,2,w,2014,pankow
206504,Abby,2,w,2016,pankow
236864,Abd,2,m,2018,reinickendorf
292699,Abdallah,2,m,2014,tempelhof-schoeneberg
14019,Abdallah,2,m,2016,charlottenburg-wilmersdorf
123928,Abdallah,2,m,2013,mitte
21852,Abdallah,3,m,2018,charlottenburg-wilmersdorf
289339,Abdallah,2,m,2013,tempelhof-schoeneberg
157623,Abdallah,2,m,2021,mitte
58577,Abdallah,2,m,2017,friedrichshain-kreuzberg
134651,Abdel,2,m,2016,mitte
286161,Abdel,2,m,2012,tempelhof-schoeneberg
166696,Abdel,2,m,2012,neukoelln
45576,Abdelwahab,2,m,2013,friedrichshain-kreuzberg
120372,Abdo,2,m,2012,mitte
98617,Abdou,2,m,2019,lichtenberg
185997,Abdul,2,m,2019,neukoelln
130685,Abdul,4,m,2015,mitte
292383,Abdul,4,m,2014,tempelhof-schoeneberg
284491,Abdul,2,m,2022,steglitz-zehlendorf
14021,Abdul,2,m,2016,charlottenburg-wilmersdorf
242333,Abdul,3,m,2012,spandau
257624,Abdul,2,m,2018,spandau
152949,Abdul,2,m,2020,mitte
246993,Abdul,2,m,2014,spandau
148249,Abdul,2,m,2019,mitte
162167,Abdul,2,m,2022,mitte
157159,Abdul,4,m,2021,mitte
303094,Abdul,2,m,2017,tempelhof-schoeneberg
127085,Abdul,4,m,2014,mitte
295964,Abdul,2,m,2015,tempelhof-schoeneberg
209305,Abdul,2,m,2017,pankow
120226,Abdul,3,m,2012,mitte
166698,Abdul,2,m,2012,neukoelln
142961,Abdul,3,m,2018,mitte
312552,Abdul,2,m,2019,tempelhof-schoeneberg
48433,Abdul,2,m,2014,friedrichshain-kreuzberg
7205,Abdul,2,m,2014,charlottenburg-wilmersdorf
26465,Abdul,2,m,2019,charlottenburg-wilmersdorf
138734,Abdul,2,m,2017,mitte
264065,Abdul,2,m,2020,spandau
148251,Abdul-Malik,2,m,2019,mitte
42769,Abdul-Rahman,2,m,2012,friedrichshain-kreuzberg
292701,Abdulhaq,2,m,2014,tempelhof-schoeneberg
180147,Abduljalil,2,w,2017,neukoelln
152951,Abdulkadir,2,m,2020,mitte
148253,Abdulkadir,2,m,2019,mitte
289146,Abdulkadir,3,m,2013,tempelhof-schoeneberg
17656,Abdulkarim,2,m,2017,charlottenburg-wilmersdorf
147733,Abdullah,4,m,2019,mitte
191725,Abdullah,2,m,2021,neukoelln
17839,Abdullah,2,m,2017,charlottenburg-wilmersdorf
239041,Abdullah,2,w,2020,reinickendorf
126918,Abdullah,7,m,2014,mitte
270314,Abdullah,3,m,2022,spandau
7031,Abdullah,3,m,2014,charlottenburg-wilmersdorf
231826,Abdullah,2,m,2014,reinickendorf
288955,Abdullah,5,m,2013,tempelhof-schoeneberg
123746,Abdullah,3,m,2013,mitte
162442,Abdullah,2,m,2022,mitte
307374,Abdullah,4,m,2018,tempelhof-schoeneberg
316627,Abdullah,3,m,2020,tempelhof-schoeneberg
249302,Abdullah,3,m,2015,spandau
3706,Abdullah,4,m,2013,charlottenburg-wilmersdorf
212549,Abdullah,2,m,2018,pankow
42579,Abdullah,3,m,2012,friedrichshain-kreuzberg
307759,Abdullah,2,m,2018,tempelhof-schoeneberg
460,Abdullah,3,m,2012,charlottenburg-wilmersdorf
316809,Abdullah,2,m,2020,tempelhof-schoeneberg
166394,Abdullah,5,m,2012,neukoelln
188570,Abdullah,4,m,2020,neukoelln
260844,Abdullah,2,m,2019,spandau
48435,Abdullah,2,m,2014,friedrichshain-kreuzberg
239008,Abdullah,4,m,2020,reinickendorf
321275,Abdullah,4,m,2021,tempelhof-schoeneberg
96103,Abdullah,2,m,2018,lichtenberg
103759,Abdullah,2,m,2021,lichtenberg
241106,Abdullah,2,m,2022,reinickendorf
152268,Abdullah,6,m,2020,mitte
71447,Abdullah,2,m,2020,friedrichshain-kreuzberg
177402,Abdullah,3,m,2016,neukoelln
226439,Abdullah,2,m,2022,pankow
13721,Abdullah,4,m,2016,charlottenburg-wilmersdorf
62934,Abdullah,2,m,2018,friedrichshain-kreuzberg
226617,Abdullah,2,m,2022,pankow
134211,Abdullah,6,m,2016,mitte
191571,Abdullah,2,m,2021,neukoelln
169145,Abdullah,3,m,2013,neukoelln
85230,Abdullah,2,m,2013,lichtenberg
93468,Abdullah,2,m,2017,lichtenberg
142797,Abdullah,4,m,2018,mitte
152778,Abdullah,2,m,2020,mitte
58174,Abdullah,3,m,2017,friedrichshain-kreuzberg
299099,Abdullah,4,m,2016,tempelhof-schoeneberg
130687,Abdullah,4,m,2015,mitte
254533,Abdullah,2,m,2017,spandau
182884,Abdullah,3,m,2018,neukoelln
292703,Abdullah,2,m,2014,tempelhof-schoeneberg
161589,Abdullah,6,m,2022,mitte
234323,Abdullah,2,m,2016,reinickendorf
321198,Abdullah,4,m,2021,tempelhof-schoeneberg
10599,Abdullah,2,m,2015,charlottenburg-wilmersdorf
325884,Abdullah,6,m,2022,tempelhof-schoeneberg
67260,Abdullah,2,m,2019,friedrichshain-kreuzberg
174391,Abdullah,8,m,2015,neukoelln
230450,Abdullah,4,m,2013,reinickendorf
185853,Abdullah,2,m,2019,neukoelln
105961,Abdullah,3,m,2022,lichtenberg
87127,Abdullah,2,m,2014,lichtenberg
295810,Abdullah,3,m,2015,tempelhof-schoeneberg
137955,Abdullah,8,m,2017,mitte
185747,Abdullah,3,m,2019,neukoelln
180074,Abdullah,3,m,2017,neukoelln
75470,Abdullah,2,m,2021,friedrichshain-kreuzberg
285999,Abdullah,3,m,2012,tempelhof-schoeneberg
87129,Abdulmalek,2,m,2014,lichtenberg
234325,Abdulrahman,2,m,2016,reinickendorf
22223,Abdulrahman,2,m,2018,charlottenburg-wilmersdorf
10601,Abdulrahman,2,m,2015,charlottenburg-wilmersdorf
321739,Abdulrahman,2,m,2021,tempelhof-schoeneberg
238026,Abdulrahman,2,m,2019,reinickendorf
183087,Abdulrahman,2,m,2018,neukoelln
254535,Abdulrahman,2,m,2017,spandau
152953,Abdulrahman,2,m,2020,mitte
177536,Abdulrahman,2,m,2016,neukoelln
134653,Abdulrahman,2,m,2016,mitte
286163,Abdulrahman,2,m,2012,tempelhof-schoeneberg
93470,Abdulrahman,2,m,2017,lichtenberg
14023,Abdulrahman,2,m,2016,charlottenburg-wilmersdorf
166700,Abdulrahman,2,m,2012,neukoelln
143319,Abdulrahman,2,m,2018,mitte
134655,Abdurahman,2,m,2016,mitte
123930,Abdurrahman,2,m,2013,mitte
30297,Abdurrahman,3,m,2020,charlottenburg-wilmersdorf
231828,Abdurrahman,2,m,2014,reinickendorf
169319,Abdurrahman,2,m,2013,neukoelln
138252,Abdurrahman,3,m,2017,mitte
54648,Abdurrahman,3,m,2016,friedrichshain-kreuzberg
48253,Abdurrahman,3,m,2014,friedrichshain-kreuzberg
303328,Abdurrahman,2,m,2017,tempelhof-schoeneberg
134657,Abdurrahman,2,m,2016,mitte
123748,Abed,3,m,2013,mitte
62936,Abed,2,m,2018,friedrichshain-kreuzberg
172080,Abed,2,m,2014,neukoelln
215903,Abel,2,m,2019,pankow
270527,Abel,2,m,2022,spandau
162168,Abel,2,m,2022,mitte
266947,Abel,3,m,2021,spandau
148255,Abel,2,m,2019,mitte
177404,Abel,3,m,2016,neukoelln
96105,Abel,2,m,2018,lichtenberg
206512,Abel,2,m,2016,pankow
89174,Abel,2,m,2015,lichtenberg
152955,Abel,2,m,2020,mitte
206505,Abena,2,w,2016,pankow
127331,Abena,2,w,2014,mitte
182980,Abena,2,w,2018,neukoelln
143309,Abigaela,2,w,2018,mitte
201494,Abigail,2,w,2014,pankow
230533,Abigail,2,w,2013,reinickendorf
317011,Abigail,2,w,2020,tempelhof-schoeneberg
54801,Abigail,2,w,2016,friedrichshain-kreuzberg
67227,Abigail,2,w,2019,friedrichshain-kreuzberg
307533,Abigail,3,w,2018,tempelhof-schoeneberg
285954,Abigail,3,w,2012,tempelhof-schoeneberg
242439,Abigail,2,w,2012,spandau
106035,Abigail,2,w,2022,lichtenberg
326134,Abigail,3,w,2022,tempelhof-schoeneberg
299383,Abigail,2,w,2016,tempelhof-schoeneberg
103687,Abigail,2,w,2021,lichtenberg
75346,Abigail,2,w,2021,friedrichshain-kreuzberg
251810,Abigail,2,w,2016,spandau
249383,Abigail,2,w,2015,spandau
152926,Abigail,2,w,2020,mitte
101232,Abigail,2,w,2020,lichtenberg
199025,Abigail,3,w,2013,pankow
148214,Abigail,2,w,2019,mitte
212529,Abigail,2,w,2018,pankow
106129,Aboubacar,2,m,2022,lichtenberg
134659,Abraham,2,m,2016,mitte
138736,Abraham,2,m,2017,mitte
3988,Abraham,2,m,2013,charlottenburg-wilmersdorf
299415,Abraham,2,m,2016,tempelhof-schoeneberg
295966,Abraham,2,m,2015,tempelhof-schoeneberg
101233,Abrar,2,w,2020,lichtenberg
130992,Abubakar,2,m,2015,mitte
148257,Abubakar,2,m,2019,mitte
148259,Acar,2,m,2019,mitte
143310,Acelya,2,w,2018,mitte
130959,Acelya,2,w,2015,mitte
134584,Acelya,2,w,2016,mitte
326518,Achilleas,2,m,2022,tempelhof-schoeneberg
127353,Achilleas,2,m,2014,mitte
138738,Achilles,2,m,2017,mitte
286165,Achilles,2,m,2012,tempelhof-schoeneberg
134661,Achilles,2,m,2016,mitte
172082,Achilles,2,m,2014,neukoelln
42771,Achilles,2,m,2012,friedrichshain-kreuzberg
295968,Achim,2,m,2015,tempelhof-schoeneberg
286167,Achim,2,m,2012,tempelhof-schoeneberg
166702,Achim,2,m,2012,neukoelln
161681,Ada,4,w,2022,mitte
249264,Ada,3,w,2015,spandau
119963,Ada,5,w,2012,mitte
169034,Ada,4,w,2013,neukoelln
105858,Ada,4,w,2022,lichtenberg
57809,Ada,7,w,2017,friedrichshain-kreuzberg
34814,Ada,2,w,2021,charlottenburg-wilmersdorf
3446,Ada,10,w,2013,charlottenburg-wilmersdorf
166648,Ada,2,w,2012,neukoelln
242305,Ada,3,w,2012,spandau
298794,Ada,12,w,2016,tempelhof-schoeneberg
257461,Ada,2,w,2018,spandau
260672,Ada,2,w,2019,spandau
260247,Ada,7,w,2019,spandau
215297,Ada,6,w,2019,pankow
251567,Ada,4,w,2016,spandau
218689,Ada,7,w,2020,pankow
307733,Ada,2,w,2018,tempelhof-schoeneberg
288870,Ada,6,w,2013,tempelhof-schoeneberg
71113,Ada,3,w,2020,friedrichshain-kreuzberg
257097,Ada,7,w,2018,spandau
307047,Ada,10,w,2018,tempelhof-schoeneberg
263612,Ada,5,w,2020,spandau
339648,Ada,4,w,2020,treptow-koepenick
278212,Ada,3,w,2017,steglitz-zehlendorf
47890,Ada,13,w,2014,friedrichshain-kreuzberg
74901,Ada,7,w,2021,friedrichshain-kreuzberg
341124,Ada,2,w,2021,treptow-koepenick
203687,Ada,4,w,2015,pankow
185848,Ada,2,w,2019,neukoelln
180058,Ada,3,w,2017,neukoelln
30191,Ada,3,w,2020,charlottenburg-wilmersdorf
79165,Ada,5,w,2022,friedrichshain-kreuzberg
26000,Ada,3,w,2019,charlottenburg-wilmersdorf
157759,Ada,2,w,2021,mitte
138492,Ada,2,w,2017,mitte
38168,Ada,10,w,2022,charlottenburg-wilmersdorf
312111,Ada,3,w,2019,tempelhof-schoeneberg
126934,Ada,6,w,2014,mitte
283139,Ada,2,w,2021,steglitz-zehlendorf
62715,Ada,2,w,2018,friedrichshain-kreuzberg
212230,Ada,3,w,2018,pankow
42371,Ada,6,w,2012,friedrichshain-kreuzberg
302804,Ada,3,w,2017,tempelhof-schoeneberg
147709,Ada,4,w,2019,mitte
321472,Ada,3,w,2021,tempelhof-schoeneberg
54251,Ada,10,w,2016,friedrichshain-kreuzberg
123541,Ada,5,w,2013,mitte
39060,Ada,2,w,2022,charlottenburg-wilmersdorf
266802,Ada,4,w,2021,spandau
25810,Ada,5,w,2019,charlottenburg-wilmersdorf
196463,Ada,5,w,2012,pankow
89152,Ada,2,w,2015,lichtenberg
134191,Ada,6,w,2016,mitte
270167,Ada,4,w,2022,spandau
152401,Ada,4,w,2020,mitte
326077,Ada,4,w,2022,tempelhof-schoeneberg
266859,Ada,4,w,2021,spandau
325728,Ada,10,w,2022,tempelhof-schoeneberg
285689,Ada,7,w,2012,tempelhof-schoeneberg
295454,Ada,8,w,2015,tempelhof-schoeneberg
244719,Ada,2,w,2013,spandau
162343,Ada,2,w,2022,mitte
193782,Ada,5,w,2022,neukoelln
320963,Ada,7,w,2021,tempelhof-schoeneberg
191277,Ada,4,w,2021,neukoelln
51107,Ada,7,w,2015,friedrichshain-kreuzberg
302612,Ada,5,w,2017,tempelhof-schoeneberg
219147,Ada,2,w,2020,pankow
29796,Ada,11,w,2020,charlottenburg-wilmersdorf
218,Ada,7,w,2012,charlottenburg-wilmersdorf
66878,Ada,3,w,2019,friedrichshain-kreuzberg
246817,Ada,3,w,2014,spandau
209136,Ada,2,w,2017,pankow
62118,Ada,11,w,2018,friedrichshain-kreuzberg
130449,Ada,10,w,2015,mitte
6893,Ada,4,w,2014,charlottenburg-wilmersdorf
17024,Ada,9,w,2017,charlottenburg-wilmersdorf
21522,Ada,6,w,2018,charlottenburg-wilmersdorf
206213,Ada,5,w,2016,pankow
226028,Ada,4,w,2022,pankow
157458,Ada,2,w,2021,mitte
10128,Ada,8,w,2015,charlottenburg-wilmersdorf
254077,Ada,5,w,2017,spandau
138159,Ada,4,w,2017,mitte
292111,Ada,10,w,2014,tempelhof-schoeneberg
142782,Ada,4,w,2018,mitte
229354,Ada,2,w,2012,reinickendorf
263913,Ada,2,w,2020,spandau
148045,Ada,2,w,2019,mitte
87005,Ada,3,w,2014,lichtenberg
152372,Ada,4,w,2020,mitte
13461,Ada,12,w,2016,charlottenburg-wilmersdorf
222268,Ada,6,w,2021,pankow
34051,Ada,6,w,2021,charlottenburg-wilmersdorf
174611,Ada,3,w,2015,neukoelln
98507,Ada,2,w,2019,lichtenberg
188836,Ada,2,w,2020,neukoelln
316108,Ada,11,w,2020,tempelhof-schoeneberg
231803,Ada,2,w,2014,reinickendorf
21637,Ada,4,w,2018,charlottenburg-wilmersdorf
198951,Ada,4,w,2013,pankow
75618,Ada,2,w,2021,friedrichshain-kreuzberg
201161,Ada,7,w,2014,pankow
316788,Ada,2,w,2020,tempelhof-schoeneberg
57889,Ada,5,w,2017,friedrichshain-kreuzberg
152043,Adam,28,m,2020,mitte
208780,Adam,5,m,2017,pankow
26263,Adam,2,m,2019,charlottenburg-wilmersdorf
98259,Adam,6,m,2019,lichtenberg
162,Adam,10,m,2012,charlottenburg-wilmersdorf
185468,Adam,20,m,2019,neukoelln
147376,Adam,36,m,2019,mitte
208809,Adam,5,m,2017,pankow
215729,Adam,2,m,2019,pankow
111131,Adam,2,m,2015,marzahn-hellersdorf
66367,Adam,24,m,2019,friedrichshain-kreuzberg
161382,Adam,42,m,2022,mitte
78969,Adam,29,m,2022,friedrichshain-kreuzberg
263924,Adam,2,m,2020,spandau
244485,Adam,5,m,2013,spandau
75705,Adam,2,m,2021,friedrichshain-kreuzberg
142756,Adam,4,m,2018,mitte
54158,Adam,21,m,2016,friedrichshain-kreuzberg
85023,Adam,4,m,2013,lichtenberg
112100,Adam,3,m,2016,marzahn-hellersdorf
156829,Adam,28,m,2021,mitte
198773,Adam,10,m,2013,pankow
16892,Adam,22,m,2017,charlottenburg-wilmersdorf
263455,Adam,13,m,2020,spandau
29706,Adam,23,m,2020,charlottenburg-wilmersdorf
332425,Adam,2,m,2014,treptow-koepenick
311751,Adam,6,m,2019,tempelhof-schoeneberg
62490,Adam,3,m,2018,friedrichshain-kreuzberg
257024,Adam,13,m,2018,spandau
225831,Adam,11,m,2022,pankow
269983,Adam,16,m,2022,spandau
278137,Adam,6,m,2017,steglitz-zehlendorf
182996,Adam,2,m,2018,neukoelln
161770,Adam,4,m,2022,mitte
182600,Adam,17,m,2018,neukoelln
284355,Adam,6,m,2022,steglitz-zehlendorf
267029,Adam,3,m,2021,spandau
62124,Adam,11,m,2018,friedrichshain-kreuzberg
306934,Adam,21,m,2018,tempelhof-schoeneberg
211771,Adam,14,m,2018,pankow
79294,Adam,4,m,2022,friedrichshain-kreuzberg
302314,Adam,22,m,2017,tempelhof-schoeneberg
83168,Adam,5,m,2012,lichtenberg
191176,Adam,14,m,2021,neukoelln
274307,Adam,3,m,2013,steglitz-zehlendorf
45025,Adam,18,m,2013,friedrichshain-kreuzberg
311541,Adam,22,m,2019,tempelhof-schoeneberg
90951,Adam,6,m,2016,lichtenberg
93033,Adam,10,m,2017,lichtenberg
103393,Adam,13,m,2021,lichtenberg
298679,Adam,32,m,2016,tempelhof-schoeneberg
279594,Adam,2,m,2018,steglitz-zehlendorf
215147,Adam,15,m,2019,pankow
266604,Adam,13,m,2021,spandau
281864,Adam,3,m,2020,steglitz-zehlendorf
95687,Adam,7,m,2018,lichtenberg
66688,Adam,4,m,2019,friedrichshain-kreuzberg
295335,Adam,17,m,2015,tempelhof-schoeneberg
201169,Adam,7,m,2014,pankow
