,vorname,anzahl,bezirk
0,Aaliyah,24,charlottenburg-wilmersdorf
1,Aaliyah,9,friedrichshain-kreuzberg
2,Aaliyah,2,lichtenberg
3,Aaliyah,4,marzahn-hellersdorf
4,Aaliyah,31,mitte
5,Aaliyah,25,neukoelln
6,Aaliyah,4,pankow
7,Aaliyah,4,reinickendorf
8,Aaliyah,19,spandau
9,Aaliyah,2,steglitz-zehlendorf
10,Aaliyah,37,tempelhof-schoeneberg
11,Aarav,2,pankow
12,Aaron,141,charlottenburg-wilmersdorf
13,Aaron,95,friedrichshain-kreuzberg
14,Aaron,79,lichtenberg
15,Aaron,12,marzahn-hellersdorf
16,Aaron,88,mitte
17,Aaron,42,neukoelln
18,Aaron,125,pankow
19,Aaron,19,reinickendorf
20,Aaron,90,spandau
21,Aaron,32,steglitz-zehlendorf
22,Aaron,133,tempelhof-schoeneberg
23,Aaron,26,treptow-koepenick
24,Abakah,2,mitte
25,Abbas,9,charlottenburg-wilmersdorf
26,Abbas,9,friedrichshain-kreuzberg
27,Abbas,2,lichtenberg
28,Abbas,19,mitte
29,Abbas,14,neukoelln
30,Abbas,2,reinickendorf
31,Abbas,13,tempelhof-schoeneberg
32,Abby,2,neukoelln
33,Abby,8,pankow
34,Abby,2,reinickendorf
35,Abby,2,tempelhof-schoeneberg
36,Abd,2,reinickendorf
37,Abdallah,5,charlottenburg-wilmersdorf
38,Abdallah,2,friedrichshain-kreuzberg
39,Abdallah,4,mitte
40,Abdallah,4,tempelhof-schoeneberg
41,Abdel,2,mitte
42,Abdel,2,neukoelln
43,Abdel,2,tempelhof-schoeneberg
44,Abdelwahab,2,friedrichshain-kreuzberg
45,Abdo,2,mitte
46,Abdou,2,lichtenberg
47,Abdul,6,charlottenburg-wilmersdorf
48,Abdul,2,friedrichshain-kreuzberg
49,Abdul,26,mitte
50,Abdul,4,neukoelln
51,Abdul,2,pankow
52,Abdul,9,spandau
53,Abdul,2,steglitz-zehlendorf
54,Abdul,10,tempelhof-schoeneberg
55,Abdul-Malik,2,mitte
56,Abdul-Rahman,2,friedrichshain-kreuzberg
57,Abdulhaq,2,tempelhof-schoeneberg
58,Abduljalil,2,neukoelln
59,Abdulkadir,4,mitte
60,Abdulkadir,3,tempelhof-schoeneberg
61,Abdulkarim,2,charlottenburg-wilmersdorf
62,Abdullah,18,charlottenburg-wilmersdorf
63,Abdullah,16,friedrichshain-kreuzberg
64,Abdullah,13,lichtenberg
65,Abdullah,52,mitte
66,Abdullah,38,neukoelln
67,Abdullah,6,pankow
68,Abdullah,16,reinickendorf
69,Abdullah,10,spandau
70,Abdullah,42,tempelhof-schoeneberg
71,Abdulmalek,2,lichtenberg
72,Abdulrahman,6,charlottenburg-wilmersdorf
73,Abdulrahman,2,lichtenberg
74,Abdulrahman,6,mitte
75,Abdulrahman,6,neukoelln
76,Abdulrahman,4,reinickendorf
77,Abdulrahman,2,spandau
78,Abdulrahman,4,tempelhof-schoeneberg
79,Abdurahman,2,mitte
80,Abdurrahman,3,charlottenburg-wilmersdorf
81,Abdurrahman,6,friedrichshain-kreuzberg
82,Abdurrahman,7,mitte
83,Abdurrahman,2,neukoelln
84,Abdurrahman,2,reinickendorf
85,Abdurrahman,2,tempelhof-schoeneberg
86,Abed,2,friedrichshain-kreuzberg
87,Abed,3,mitte
88,Abed,2,neukoelln
89,Abel,4,lichtenberg
90,Abel,6,mitte
91,Abel,3,neukoelln
92,Abel,4,pankow
93,Abel,5,spandau
94,Abena,2,mitte
95,Abena,2,neukoelln
96,Abena,2,pankow
97,Abigaela,2,mitte
98,Abigail,6,friedrichshain-kreuzberg
99,Abigail,6,lichtenberg
100,Abigail,4,mitte
101,Abigail,7,pankow
102,Abigail,2,reinickendorf
103,Abigail,6,spandau
104,Abigail,13,tempelhof-schoeneberg
105,Aboubacar,2,lichtenberg
106,Abraham,2,charlottenburg-wilmersdorf
107,Abraham,4,mitte
108,Abraham,4,tempelhof-schoeneberg
109,Abrar,2,lichtenberg
110,Abubakar,4,mitte
111,Acar,2,mitte
112,Acelya,6,mitte
113,Achilleas,2,mitte
114,Achilleas,2,tempelhof-schoeneberg
115,Achilles,2,friedrichshain-kreuzberg
116,Achilles,4,mitte
117,Achilles,2,neukoelln
118,Achilles,2,tempelhof-schoeneberg
119,Achim,2,neukoelln
120,Achim,4,tempelhof-schoeneberg
121,Ada,102,charlottenburg-wilmersdorf
122,Ada,81,friedrichshain-kreuzberg
123,Ada,11,lichtenberg
124,Ada,66,mitte
125,Ada,25,neukoelln
126,Ada,55,pankow
127,Ada,4,reinickendorf
128,Ada,57,spandau
129,Ada,5,steglitz-zehlendorf
130,Ada,103,tempelhof-schoeneberg
131,Ada,6,treptow-koepenick
132,Adam,225,charlottenburg-wilmersdorf
133,Adam,209,friedrichshain-kreuzberg
134,Adam,92,lichtenberg
135,Adam,17,marzahn-hellersdorf
136,Adam,308,mitte
137,Adam,180,neukoelln
138,Adam,132,pankow
139,Adam,67,reinickendorf
140,Adam,131,spandau
141,Adam,35,steglitz-zehlendorf
142,Adam,279,tempelhof-schoeneberg
143,Adam,28,treptow-koepenick
144,Adamma,2,neukoelln
145,Adar,2,mitte
146,Adar,2,neukoelln
147,Adar,4,tempelhof-schoeneberg
148,Adea,2,spandau
149,Adel,2,charlottenburg-wilmersdorf
150,Adel,6,mitte
151,Adela,4,mitte
152,Adela,2,pankow
153,Adele,23,charlottenburg-wilmersdorf
154,Adele,17,friedrichshain-kreuzberg
155,Adele,8,lichtenberg
156,Adele,23,mitte
157,Adele,8,neukoelln
158,Adele,24,pankow
159,Adele,9,spandau
160,Adele,6,steglitz-zehlendorf
161,Adele,20,tempelhof-schoeneberg
162,Adelheid,2,tempelhof-schoeneberg
163,Adelia,2,charlottenburg-wilmersdorf
164,Adelia,2,tempelhof-schoeneberg
165,Adelina,8,charlottenburg-wilmersdorf
166,Adelina,12,friedrichshain-kreuzberg
167,Adelina,16,lichtenberg
168,Adelina,10,mitte
169,Adelina,4,neukoelln
170,Adelina,4,pankow
171,Adelina,2,reinickendorf
172,Adelina,7,spandau
173,Adelina,2,tempelhof-schoeneberg
174,Adeline,2,friedrichshain-kreuzberg
175,Adeline,3,tempelhof-schoeneberg
176,Adelisa,3,mitte
177,Adem,32,charlottenburg-wilmersdorf
178,Adem,11,friedrichshain-kreuzberg
179,Adem,2,lichtenberg
180,Adem,20,mitte
181,Adem,17,neukoelln
182,Adem,2,pankow
183,Adem,7,reinickendorf
184,Adem,4,spandau
185,Adem,27,tempelhof-schoeneberg
186,Adesuwa,2,mitte
187,Adib,2,neukoelln
188,Adil,3,friedrichshain-kreuzberg
189,Adil,3,mitte
190,Adil,4,neukoelln
191,Adil,4,tempelhof-schoeneberg
192,Adile,6,mitte
193,Adin,2,charlottenburg-wilmersdorf
194,Adin,2,lichtenberg
195,Adin,2,mitte
196,Adin,4,tempelhof-schoeneberg
197,Adina,2,charlottenburg-wilmersdorf
198,Adina,2,neukoelln
199,Adina,4,tempelhof-schoeneberg
200,Adis,2,mitte
201,Adnan,4,charlottenburg-wilmersdorf
202,Adnan,4,friedrichshain-kreuzberg
203,Adnan,6,lichtenberg
204,Adnan,9,mitte
205,Adnan,7,neukoelln
206,Adnan,2,reinickendorf
207,Adnan,2,spandau
208,Adnan,17,tempelhof-schoeneberg
209,Adolf,2,tempelhof-schoeneberg
210,Adom,2,tempelhof-schoeneberg
211,Adonis,2,neukoelln
212,Adonis,2,pankow
213,Adrian,144,charlottenburg-wilmersdorf
214,Adrian,91,friedrichshain-kreuzberg
215,Adrian,92,lichtenberg
216,Adrian,22,marzahn-hellersdorf
217,Adrian,138,mitte
218,Adrian,85,neukoelln
219,Adrian,134,pankow
220,Adrian,35,reinickendorf
221,Adrian,105,spandau
222,Adrian,34,steglitz-zehlendorf
223,Adrian,146,tempelhof-schoeneberg
224,Adrian,24,treptow-koepenick
225,Adriana,29,charlottenburg-wilmersdorf
226,Adriana,18,friedrichshain-kreuzberg
227,Adriana,24,mitte
228,Adriana,10,neukoelln
229,Adriana,8,pankow
230,Adriana,3,reinickendorf
231,Adriana,10,spandau
232,Adriana,2,steglitz-zehlendorf
233,Adriana,21,tempelhof-schoeneberg
234,Adriano,4,charlottenburg-wilmersdorf
235,Adriano,7,friedrichshain-kreuzberg
236,Adriano,8,mitte
237,Adriano,4,neukoelln
238,Adriano,11,tempelhof-schoeneberg
239,Adrijan,2,lichtenberg
240,Adrijan,2,tempelhof-schoeneberg
241,Adrijana,2,charlottenburg-wilmersdorf
242,Adrijana,2,mitte
243,Adrijana,8,neukoelln
244,Adrijana,2,reinickendorf
245,Adrina,2,charlottenburg-wilmersdorf
246,Adrián,2,friedrichshain-kreuzberg
247,Adrián,2,tempelhof-schoeneberg
248,Adu,2,mitte
249,Advik,2,charlottenburg-wilmersdorf
250,Adèle,2,tempelhof-schoeneberg
251,Aeneas,2,friedrichshain-kreuzberg
252,Aeneas,2,mitte
253,Aeneas,2,pankow
254,Aeneas,2,spandau
255,Aeneas,2,tempelhof-schoeneberg
256,Afra,2,charlottenburg-wilmersdorf
257,Afra,2,mitte
258,Agata,2,friedrichshain-kreuzberg
259,Agata,2,mitte
260,Agata,2,pankow
261,Agatha,5,mitte
262,Agathe,2,pankow
263,Agit,2,tempelhof-schoeneberg
264,Agnes,9,charlottenburg-wilmersdorf
265,Agnes,14,friedrichshain-kreuzberg
266,Agnes,2,lichtenberg
267,Agnes,8,mitte
268,Agnes,2,neukoelln
269,Agnes,7,pankow
270,Agnes,2,steglitz-zehlendorf
271,Agnes,5,tempelhof-schoeneberg
272,Agnès,2,tempelhof-schoeneberg
273,Ahad,2,neukoelln
274,Ahlam,2,friedrichshain-kreuzberg
275,Ahmad,49,charlottenburg-wilmersdorf
276,Ahmad,70,friedrichshain-kreuzberg
277,Ahmad,16,lichtenberg
278,Ahmad,110,mitte
279,Ahmad,96,neukoelln
280,Ahmad,16,pankow
281,Ahmad,14,reinickendorf
282,Ahmad,17,spandau
283,Ahmad,77,tempelhof-schoeneberg
284,Ahmad,2,treptow-koepenick
285,Ahmed,50,charlottenburg-wilmersdorf
286,Ahmed,39,friedrichshain-kreuzberg
287,Ahmed,17,lichtenberg
288,Ahmed,3,marzahn-hellersdorf
289,Ahmed,73,mitte
290,Ahmed,41,neukoelln
291,Ahmed,6,pankow
292,Ahmed,13,reinickendorf
293,Ahmed,21,spandau
294,Ahmed,4,steglitz-zehlendorf
295,Ahmed,44,tempelhof-schoeneberg
296,Ahmedova,2,friedrichshain-kreuzberg
297,Ahmedovna,2,friedrichshain-kreuzberg
298,Ahmet,16,charlottenburg-wilmersdorf
299,Ahmet,33,friedrichshain-kreuzberg
300,Ahmet,61,mitte
301,Ahmet,27,neukoelln
302,Ahmet,12,reinickendorf
303,Ahmet,16,spandau
304,Ahmet,37,tempelhof-schoeneberg
305,Ahsen,2,friedrichshain-kreuzberg
306,Ahsen,3,mitte
307,Ahsen,4,neukoelln
308,Ahsen,4,tempelhof-schoeneberg
309,Ahu,2,mitte
310,Ai,2,tempelhof-schoeneberg
311,Aicha,4,friedrichshain-kreuzberg
312,Aicha,2,mitte
313,Aicha,2,neukoelln
314,Aida,2,friedrichshain-kreuzberg
315,Aida,2,tempelhof-schoeneberg
316,Aidan,3,friedrichshain-kreuzberg
317,Aidan,4,lichtenberg
318,Aidan,2,marzahn-hellersdorf
319,Aidan,3,neukoelln
320,Aidan,4,spandau
321,Aidan,4,tempelhof-schoeneberg
322,Aidan,2,treptow-koepenick
323,Aiden,11,charlottenburg-wilmersdorf
324,Aiden,7,friedrichshain-kreuzberg
325,Aiden,11,lichtenberg
326,Aiden,5,marzahn-hellersdorf
327,Aiden,15,mitte
328,Aiden,8,neukoelln
329,Aiden,19,pankow
330,Aiden,2,reinickendorf
331,Aiden,10,spandau
332,Aiden,14,tempelhof-schoeneberg
333,Aiden,3,treptow-koepenick
334,Aika,2,charlottenburg-wilmersdorf
335,Aila,4,tempelhof-schoeneberg
336,Aileen,4,lichtenberg
337,Aileen,2,marzahn-hellersdorf
338,Aileen,4,pankow
339,Aimee,2,spandau
340,Aimé,3,charlottenburg-wilmersdorf
341,Aimé,3,tempelhof-schoeneberg
342,Aimée,7,charlottenburg-wilmersdorf
343,Aimée,4,friedrichshain-kreuzberg
344,Aimée,7,mitte
345,Aimée,2,neukoelln
346,Aimée,4,spandau
347,Aino,3,charlottenburg-wilmersdorf
348,Aino,5,friedrichshain-kreuzberg
349,Aino,3,pankow
350,Aino,6,tempelhof-schoeneberg
351,Ainoa,2,lichtenberg
352,Aischa,5,mitte
353,Aischa,2,neukoelln
354,Aischa,2,pankow
355,Aisha,2,charlottenburg-wilmersdorf
356,Aisha,16,friedrichshain-kreuzberg
357,Aisha,26,mitte
358,Aisha,14,neukoelln
359,Aisha,2,pankow
360,Aisha,2,reinickendorf
361,Aisha,6,spandau
362,Aisha,8,tempelhof-schoeneberg
363,Aisosa,2,lichtenberg
364,Ajan,2,lichtenberg
365,Ajan,3,mitte
366,Ajan,2,pankow
367,Ajan,2,tempelhof-schoeneberg
368,Ajdin,2,friedrichshain-kreuzberg
369,Ajdin,2,lichtenberg
370,Ajla,2,marzahn-hellersdorf
371,Ajla,6,mitte
372,Ajla,4,neukoelln
373,Ajla,2,reinickendorf
374,Ajla,9,tempelhof-schoeneberg
375,Ajlin,2,neukoelln
376,Ajna,2,charlottenburg-wilmersdorf
377,Ajna,2,friedrichshain-kreuzberg
378,Ajna,2,marzahn-hellersdorf
379,Ajna,2,mitte
380,Akasya,2,neukoelln
381,Akay,2,tempelhof-schoeneberg
382,Akbar,2,charlottenburg-wilmersdorf
383,Aki,2,friedrichshain-kreuzberg
384,Aki,2,pankow
385,Aki,2,tempelhof-schoeneberg
386,Akif,2,charlottenburg-wilmersdorf
387,Akif,2,friedrichshain-kreuzberg
388,Akif,4,mitte
389,Akif,3,spandau
390,Akif,2,tempelhof-schoeneberg
391,Akil,2,neukoelln
392,Akim,4,friedrichshain-kreuzberg
393,Akim,2,tempelhof-schoeneberg
394,Akira,2,charlottenburg-wilmersdorf
395,Akira,4,friedrichshain-kreuzberg
396,Akiva,2,friedrichshain-kreuzberg
397,Akram,5,mitte
398,Akram,3,neukoelln
399,Akram,2,tempelhof-schoeneberg
400,Akua,2,charlottenburg-wilmersdorf
401,Al,2,mitte
402,Al,7,neukoelln
403,Al,3,spandau
404,Alaa,2,friedrichshain-kreuzberg
405,Alaa,2,mitte
406,Alain,2,charlottenburg-wilmersdorf
407,Alain,4,mitte
408,Alain,2,spandau
409,Alan,21,charlottenburg-wilmersdorf
410,Alan,8,friedrichshain-kreuzberg
411,Alan,11,lichtenberg
412,Alan,2,marzahn-hellersdorf
413,Alan,14,mitte
414,Alan,20,neukoelln
415,Alan,10,pankow
416,Alan,7,reinickendorf
417,Alan,6,spandau
418,Alan,29,tempelhof-schoeneberg
419,Alana,2,charlottenburg-wilmersdorf
420,Alana,4,mitte
421,Alana,2,pankow
422,Alana,2,spandau
423,Alana,4,tempelhof-schoeneberg
424,Alana,2,treptow-koepenick
425,Aland,2,friedrichshain-kreuzberg
426,Alani,2,charlottenburg-wilmersdorf
427,Alara,12,charlottenburg-wilmersdorf
428,Alara,5,friedrichshain-kreuzberg
429,Alara,11,mitte
430,Alara,8,neukoelln
431,Alara,5,spandau
432,Alara,14,tempelhof-schoeneberg
433,Alaz,2,mitte
434,Alaz,3,reinickendorf
435,Alba,8,charlottenburg-wilmersdorf
436,Alba,11,friedrichshain-kreuzberg
437,Alba,2,lichtenberg
438,Alba,2,marzahn-hellersdorf
439,Alba,7,mitte
440,Alba,2,pankow
441,Alba,4,spandau
442,Alba,19,tempelhof-schoeneberg
443,Alban,3,charlottenburg-wilmersdorf
444,Alban,2,mitte
445,Albana,2,neukoelln
446,Albaraa,2,mitte
447,Albenov,2,mitte
448,Albert,70,charlottenburg-wilmersdorf
449,Albert,56,friedrichshain-kreuzberg
450,Albert,33,lichtenberg
451,Albert,75,mitte
452,Albert,24,neukoelln
453,Albert,86,pankow
454,Albert,2,reinickendorf
455,Albert,47,spandau
456,Albert,3,steglitz-zehlendorf
457,Albert,63,tempelhof-schoeneberg
458,Albert,17,treptow-koepenick
459,Albertine,3,charlottenburg-wilmersdorf
460,Albertine,2,tempelhof-schoeneberg
461,Alberto,2,charlottenburg-wilmersdorf
462,Alberto,2,friedrichshain-kreuzberg
463,Alberto,2,neukoelln
464,Alberto,2,spandau
465,Albin,2,lichtenberg
466,Albin,2,neukoelln
467,Albion,2,charlottenburg-wilmersdorf
468,Albion,2,neukoelln
469,Albrecht,4,charlottenburg-wilmersdorf
470,Albrecht,2,friedrichshain-kreuzberg
471,Albrecht,9,mitte
472,Albrecht,2,pankow
473,Albrecht,2,spandau
474,Aldin,2,charlottenburg-wilmersdorf
475,Aldin,2,tempelhof-schoeneberg
476,Aldinova,2,spandau
477,Alea,20,charlottenburg-wilmersdorf
478,Alea,13,friedrichshain-kreuzberg
479,Alea,12,lichtenberg
480,Alea,10,mitte
481,Alea,16,neukoelln
482,Alea,18,pankow
483,Alea,10,spandau
484,Alea,2,steglitz-zehlendorf
485,Alea,20,tempelhof-schoeneberg
486,Alea,4,treptow-koepenick
487,Aleah,2,friedrichshain-kreuzberg
488,Aleandro,2,mitte
489,Alec,2,charlottenburg-wilmersdorf
490,Alec,2,lichtenberg
491,Alec,2,neukoelln
492,Aleen,2,charlottenburg-wilmersdorf
493,Aleen,2,mitte
494,Alejandra,2,charlottenburg-wilmersdorf
495,Alejandra,2,tempelhof-schoeneberg
496,Alejandro,8,charlottenburg-wilmersdorf
497,Alejandro,7,friedrichshain-kreuzberg
498,Alejandro,4,lichtenberg
499,Alejandro,10,mitte
500,Alejandro,2,neukoelln
501,Alejandro,3,pankow
502,Alejandro,2,spandau
503,Alejandro,6,tempelhof-schoeneberg
504,Alejna,2,friedrichshain-kreuzberg
505,Alejna,2,mitte
506,Aleks,5,mitte
507,Aleks,3,reinickendorf
508,Aleksa,2,charlottenburg-wilmersdorf
509,Aleksandar,10,charlottenburg-wilmersdorf
510,Aleksandar,9,friedrichshain-kreuzberg
511,Aleksandar,4,lichtenberg
512,Aleksandar,4,mitte
513,Aleksandar,6,neukoelln
514,Aleksandar,2,pankow
515,Aleksandar,2,reinickendorf
516,Aleksandar,2,spandau
517,Aleksandar,16,tempelhof-schoeneberg
518,Aleksander,6,charlottenburg-wilmersdorf
519,Aleksander,3,friedrichshain-kreuzberg
520,Aleksander,10,lichtenberg
521,Aleksander,10,mitte
522,Aleksander,8,neukoelln
523,Aleksander,7,pankow
524,Aleksander,2,reinickendorf
525,Aleksander,10,spandau
526,Aleksander,24,tempelhof-schoeneberg
527,Aleksander,2,treptow-koepenick
528,Aleksandr,4,charlottenburg-wilmersdorf
529,Aleksandra,12,charlottenburg-wilmersdorf
530,Aleksandra,2,friedrichshain-kreuzberg
531,Aleksandra,6,lichtenberg
532,Aleksandra,2,marzahn-hellersdorf
533,Aleksandra,13,mitte
534,Aleksandra,5,neukoelln
535,Aleksandra,8,pankow
536,Aleksandra,5,spandau
537,Aleksandra,2,steglitz-zehlendorf
538,Aleksandra,10,tempelhof-schoeneberg
539,Aleksandrov,2,mitte
540,Aleksandrova,2,friedrichshain-kreuzberg
541,Aleksandrova,2,mitte
542,Aleksandrovič,2,charlottenburg-wilmersdorf
543,Aleksandrovič,3,tempelhof-schoeneberg
544,Aleksandrovna,2,charlottenburg-wilmersdorf
545,Aleksandrovna,6,friedrichshain-kreuzberg
546,Alekseevič,2,mitte
547,Alekseevič,2,tempelhof-schoeneberg
548,Alekseevna,2,mitte
549,Alekseevna,2,steglitz-zehlendorf
550,Aleksei,2,pankow
551,Aleksej,2,charlottenburg-wilmersdorf
552,Aleksej,2,mitte
553,Aleksej,2,tempelhof-schoeneberg
554,Aleksi,2,tempelhof-schoeneberg
555,Aleksiev,2,spandau
556,Aleksieva,2,mitte
557,Alen,7,charlottenburg-wilmersdorf
558,Alen,3,friedrichshain-kreuzberg
559,Alen,5,mitte
560,Alen,4,neukoelln
561,Alen,2,pankow
562,Alen,3,reinickendorf
563,Alena,8,charlottenburg-wilmersdorf
564,Alena,11,friedrichshain-kreuzberg
565,Alena,3,lichtenberg
566,Alena,3,mitte
567,Alena,12,neukoelln
568,Alena,10,pankow
569,Alena,2,reinickendorf
570,Alena,8,spandau
571,Alena,10,tempelhof-schoeneberg
572,Aleo,2,neukoelln
573,Alesia,2,charlottenburg-wilmersdorf
574,Alesia,2,neukoelln
575,Alesio,2,mitte
576,Alessa,2,marzahn-hellersdorf
577,Alessa,2,tempelhof-schoeneberg
578,Alessandra,6,charlottenburg-wilmersdorf
579,Alessandra,4,mitte
580,Alessandra,3,pankow
581,Alessandra,2,spandau
582,Alessandra,3,tempelhof-schoeneberg
583,Alessandro,14,charlottenburg-wilmersdorf
584,Alessandro,10,friedrichshain-kreuzberg
585,Alessandro,2,lichtenberg
586,Alessandro,9,mitte
587,Alessandro,10,neukoelln
588,Alessandro,2,pankow
589,Alessandro,2,reinickendorf
590,Alessandro,4,spandau
591,Alessandro,12,tempelhof-schoeneberg
592,Alessia,36,charlottenburg-wilmersdorf
593,Alessia,11,friedrichshain-kreuzberg
594,Alessia,16,lichtenberg
595,Alessia,4,marzahn-hellersdorf
596,Alessia,24,mitte
597,Alessia,12,neukoelln
598,Alessia,19,pankow
599,Alessia,8,reinickendorf
600,Alessia,21,spandau
601,Alessia,4,steglitz-zehlendorf
602,Alessia,33,tempelhof-schoeneberg
603,Alessia,2,treptow-koepenick
604,Alessian,2,pankow
605,Alessio,17,charlottenburg-wilmersdorf
606,Alessio,27,friedrichshain-kreuzberg
607,Alessio,13,lichtenberg
608,Alessio,7,marzahn-hellersdorf
609,Alessio,39,mitte
610,Alessio,36,neukoelln
611,Alessio,18,pankow
612,Alessio,5,reinickendorf
613,Alessio,26,spandau
614,Alessio,4,steglitz-zehlendorf
615,Alessio,33,tempelhof-schoeneberg
616,Alessya,2,neukoelln
617,Alex,18,charlottenburg-wilmersdorf
618,Alex,33,friedrichshain-kreuzberg
619,Alex,32,lichtenberg
620,Alex,7,marzahn-hellersdorf
621,Alex,61,mitte
622,Alex,12,neukoelln
623,Alex,30,pankow
624,Alex,5,reinickendorf
625,Alex,16,spandau
626,Alex,2,steglitz-zehlendorf
627,Alex,21,tempelhof-schoeneberg
628,Alex,2,treptow-koepenick
629,Alexa,4,charlottenburg-wilmersdorf
630,Alexa,3,mitte
631,Alexa,5,pankow
632,Alexa,5,spandau
633,Alexa,2,treptow-koepenick
634,Alexander,646,charlottenburg-wilmersdorf
635,Alexander,405,friedrichshain-kreuzberg
636,Alexander,385,lichtenberg
637,Alexander,147,marzahn-hellersdorf
638,Alexander,525,mitte
639,Alexander,270,neukoelln
640,Alexander,639,pankow
641,Alexander,95,reinickendorf
642,Alexander,388,spandau
643,Alexander,180,steglitz-zehlendorf
644,Alexander,601,tempelhof-schoeneberg
645,Alexander,157,treptow-koepenick
646,Alexandra,112,charlottenburg-wilmersdorf
647,Alexandra,77,friedrichshain-kreuzberg
648,Alexandra,75,lichtenberg
649,Alexandra,24,marzahn-hellersdorf
650,Alexandra,107,mitte
651,Alexandra,45,neukoelln
652,Alexandra,81,pankow
653,Alexandra,13,reinickendorf
654,Alexandra,46,spandau
655,Alexandra,27,steglitz-zehlendorf
656,Alexandra,80,tempelhof-schoeneberg
657,Alexandra,21,treptow-koepenick
658,Alexandre,2,charlottenburg-wilmersdorf
659,Alexandre,2,friedrichshain-kreuzberg
660,Alexandre,2,mitte
661,Alexandre,2,pankow
662,Alexandre,2,reinickendorf
663,Alexandros,6,charlottenburg-wilmersdorf
664,Alexandros,2,friedrichshain-kreuzberg
665,Alexandros,2,lichtenberg
666,Alexandros,2,mitte
667,Alexandros,6,tempelhof-schoeneberg
668,Alexandrovič,5,charlottenburg-wilmersdorf
669,Alexandrovič,2,friedrichshain-kreuzberg
670,Alexandrovič,2,steglitz-zehlendorf
671,Alexandrovna,6,charlottenburg-wilmersdorf
672,Alexandrovna,2,friedrichshain-kreuzberg
673,Alexandrovna,2,mitte
674,Alexandru,4,charlottenburg-wilmersdorf
675,Alexandru,2,lichtenberg
676,Alexandru,8,mitte
677,Alexej,2,lichtenberg
678,Alexej,3,mitte
679,Alexej,2,pankow
680,Alexej,3,spandau
681,Alexia,7,charlottenburg-wilmersdorf
682,Alexia,2,friedrichshain-kreuzberg
683,Alexia,2,lichtenberg
684,Alexia,4,spandau
685,Alexia,3,tempelhof-schoeneberg
686,Alexios,2,charlottenburg-wilmersdorf
687,Alexis,10,charlottenburg-wilmersdorf
688,Alexis,18,friedrichshain-kreuzberg
689,Alexis,9,lichtenberg
690,Alexis,4,marzahn-hellersdorf
691,Alexis,15,mitte
692,Alexis,4,neukoelln
693,Alexis,26,pankow
694,Alexis,2,spandau
695,Alexis,2,steglitz-zehlendorf
696,Alexis,24,tempelhof-schoeneberg
697,Aleya,2,charlottenburg-wilmersdorf
698,Aleya,2,tempelhof-schoeneberg
699,Aleyna,32,charlottenburg-wilmersdorf
700,Aleyna,18,friedrichshain-kreuzberg
701,Aleyna,5,lichtenberg
702,Aleyna,2,marzahn-hellersdorf
703,Aleyna,36,mitte
704,Aleyna,24,neukoelln
705,Aleyna,7,pankow
706,Aleyna,15,reinickendorf
707,Aleyna,26,spandau
708,Aleyna,46,tempelhof-schoeneberg
709,Alfie,2,charlottenburg-wilmersdorf
710,Alfie,2,friedrichshain-kreuzberg
711,Alfie,2,mitte
712,Alfie,2,pankow
713,Alfie,2,tempelhof-schoeneberg
714,Alfons,4,charlottenburg-wilmersdorf
715,Alfons,8,friedrichshain-kreuzberg
716,Alfons,2,pankow
717,Alfons,4,spandau
718,Alfons,7,tempelhof-schoeneberg
719,Alfonso,2,friedrichshain-kreuzberg
720,Alfonso,2,tempelhof-schoeneberg
721,Alfred,33,charlottenburg-wilmersdorf
722,Alfred,38,friedrichshain-kreuzberg
723,Alfred,19,lichtenberg
724,Alfred,6,marzahn-hellersdorf
725,Alfred,28,mitte
726,Alfred,12,neukoelln
727,Alfred,68,pankow
728,Alfred,4,reinickendorf
729,Alfred,18,spandau
730,Alfred,2,steglitz-zehlendorf
731,Alfred,47,tempelhof-schoeneberg
732,Alfred,4,treptow-koepenick
733,Alfreda,3,friedrichshain-kreuzberg
734,Ali,236,charlottenburg-wilmersdorf
735,Ali,262,friedrichshain-kreuzberg
736,Ali,39,lichtenberg
737,Ali,17,marzahn-hellersdorf
738,Ali,434,mitte
739,Ali,386,neukoelln
740,Ali,35,pankow
741,Ali,89,reinickendorf
742,Ali,125,spandau
743,Ali,4,steglitz-zehlendorf
744,Ali,379,tempelhof-schoeneberg
745,Ali,5,treptow-koepenick
746,Alia,2,friedrichshain-kreuzberg
747,Alia,4,lichtenberg
748,Alia,8,mitte
749,Alia,5,neukoelln
750,Alia,2,pankow
751,Alia,6,reinickendorf
752,Alia,4,spandau
753,Alia,7,tempelhof-schoeneberg
754,Alica,2,charlottenburg-wilmersdorf
755,Alica,2,friedrichshain-kreuzberg
756,Alica,4,lichtenberg
757,Alican,2,friedrichshain-kreuzberg
758,Alican,3,mitte
759,Alican,2,tempelhof-schoeneberg
760,Alice,54,charlottenburg-wilmersdorf
761,Alice,62,friedrichshain-kreuzberg
762,Alice,43,lichtenberg
763,Alice,7,marzahn-hellersdorf
764,Alice,48,mitte
765,Alice,15,neukoelln
766,Alice,52,pankow
767,Alice,8,reinickendorf
768,Alice,13,spandau
769,Alice,8,steglitz-zehlendorf
770,Alice,61,tempelhof-schoeneberg
771,Alice,5,treptow-koepenick
772,Alicia,41,charlottenburg-wilmersdorf
773,Alicia,23,friedrichshain-kreuzberg
774,Alicia,26,lichtenberg
